product_id,category,claims,ingredient_tags,pack_size
P084,Supplement,"halal, clean-label","soy, almond-flour",Single
P085,Protein Bar,kosher,"monk-fruit, oats, pea-protein",4-Pack
P086,Protein Bar,"plant-based, gluten-free, nut-free","monk-fruit, collagen, soy",Single
P087,Proten Shake,"high-protein, gluten-free, halal","stevia, monk-fruit",Single
P088,Electrolyte Drink,"halal, vegan, diabetic-friendly, keto-friendly","pea-protein, almond-flour, collagen",Single
P089,Electrolyte Drink,"gluten-free, plant-based","whey, oats",Single
P090,Protein Bar,"vegan, clean-label, low-sugar","whey, almond-flour, soy",4-Pack
P091,Healthy Snack,clean-label,"soy, collagen",Single
P092,Protein Bar,"jain-friendly, gluten-free, vegan","oats, monk-fruit",Single
P093,Protein bar ,halal,"oats, pea-protein, monk-fruit",Single
P094,Protein Bar,gluten-free,"pea-protein, soy, monk-fruit",Single
P095,Protein bar ,halal,"monk-fruit, oats",Single
P096,Electrolyte Drink,high-protein,"collagen, monk-fruit, stevia",4-Pack
P097,Protein Bar,"vegan, kosher, plant-based, jain-friendly",,Single
P098,Supplement,"kosher, nut-free",soy,Single
P099,Supplement,"diabetic-friendly, jain-friendly, high-protein, vegan",almond-flour,Single
P100,Protein bar ,"kosher, gluten-free",collagen,Single
P101,Proten Shake,"keto-friendly, low-sugar, gluten-free, jain-friendly","pea-protein, almond-flour, monk-fruit",Single
P102,Healthy Snack,"plant-based, kosher, vegan","pea-protein, collagen",4-Pack
P103,Protein Shake,diabetic-friendly,"whey, almond-flour, collagen",4-Pack
P104,Protein bar ,"kosher, jain-friendly, low-sugar, diabetic-friendly","oats, collagen, pea-protein",12-Pack
P105,Meal Replacement,"gluten-free, halal","whey, collagen, pea-protein",12-Pack
P106,Meal Replacement,"halal, jain-friendly","soy, almond-flour",Single
P107,Electrolyte Drink,plant-based,"oats, monk-fruit, pea-protein",Single
P108,Meal Replacement,"gluten-free, jain-friendly","stevia, almond-flour",12-Pack
P109,Supplement,"low-sugar, keto-friendly, diabetic-friendly, nut-free",soy,Single
P110,Protein bar ,"gluten-free, halal","pea-protein, soy",4-Pack
P111,Proten Shake,"jain-friendly, diabetic-friendly","oats, stevia, collagen",Single
P112,Electrolyte Drink,nut-free,"soy, almond-flour",Single
P113,Meal Replacement,vegan,whey,4-Pack
P114,Healthy Snack,"nut-free, jain-friendly, clean-label, keto-friendly","monk-fruit, oats",Single
P115,Protein Bar,vegan,pea-protein,4-Pack
P116,Protein Shake,"plant-based, gluten-free","whey, oats, collagen",Single
P117,Meal Replacement,"low-sugar, jain-friendly, high-protein",almond-flour,Single
P118,Healthy Snack,"kosher, nut-free, clean-label, vegan",monk-fruit,4-Pack
P119,Protein Bar,"high-protein, low-sugar","almond-flour, monk-fruit, stevia",Single
P120,Protein bar ,"clean-label, high-protein, jain-friendly",whey,Single
P121,Proten Shake,"kosher, jain-friendly, gluten-free, high-protein",whey,4-Pack
P122,Meal Replacement,"halal, high-protein, jain-friendly, keto-friendly",monk-fruit,4-Pack
P123,Proten Shake,"gluten-free, keto-friendly, kosher, low-sugar","whey, collagen",Single
P124,Meal Replacement,kosher,"monk-fruit, whey",Single
P125,Meal Replacement,"plant-based, diabetic-friendly",,4-Pack
P126,Meal Replacement,"nut-free, low-sugar","oats, almond-flour, monk-fruit",Single
P127,Supplement,"vegan, low-sugar, diabetic-friendly, keto-friendly",soy,12-Pack
P128,Meal Replacement,"jain-friendly, low-sugar, diabetic-friendly",,Single
P129,Electrolyte Drink,low-sugar,"soy, monk-fruit, whey",Single
P130,Meal Replacement,vegan,pea-protein,4-Pack
P131,Proten Shake,"high-protein, low-sugar, nut-free","collagen, monk-fruit",12-Pack
P132,Proten Shake,plant-based,monk-fruit,4-Pack
P133,Protein bar ,"diabetic-friendly, vegan, clean-label, gluten-free","pea-protein, stevia, collagen",4-Pack
P134,Protein bar ,"clean-label, high-protein, nut-free","whey, collagen, monk-fruit",Single
P135,Electrolyte Drink,"gluten-free, low-sugar, plant-based, vegan",pea-protein,Single
P136,Electrolyte Drink,"high-protein, nut-free","stevia, collagen, oats",4-Pack
P137,Protein Shake,kosher,"oats, whey",Single
P138,Meal Replacement,"nut-free, jain-friendly","soy, oats, pea-protein",Single
P139,Healthy Snack,"high-protein, low-sugar, clean-label, jain-friendly",monk-fruit,Single
P140,Electrolyte Drink,"vegan, plant-based, keto-friendly","soy, collagen, monk-fruit",Single
P141,Healthy Snack,"gluten-free, kosher, diabetic-friendly","almond-flour, collagen",4-Pack
P142,Protein Shake,"gluten-free, high-protein, jain-friendly, kosher","almond-flour, oats",12-Pack
P143,Protein Bar,"nut-free, kosher, keto-friendly","stevia, oats, almond-flour",Single
P144,Meal Replacement,"halal, diabetic-friendly, low-sugar","monk-fruit, collagen",4-Pack
P145,Healthy Snack,"gluten-free, jain-friendly, plant-based","whey, stevia",Single
P146,Protein Shake,"diabetic-friendly, plant-based","whey, collagen, monk-fruit",Single
P147,Proten Shake,"jain-friendly, diabetic-friendly","monk-fruit, stevia",Single
P148,Protein Bar,"jain-friendly, halal, clean-label, diabetic-friendly","soy, monk-fruit",Single
P149,Protein Bar,clean-label,"oats, stevia, collagen",Single
P150,Meal Replacement,"halal, low-sugar","oats, monk-fruit, almond-flour",Single
